hour;wind_capacity_factor
1448;0.191
1449;0.079
1450;0.037
1451;0.024
1452;0.007
1453;0
1454;0.001
1455;0
1456;0.001
1457;0.006
1458;0.006
1459;0.011
1460;0.004
1461;0.001
1462;0
1463;0
1464;0.001
1465;0
1466;0
1467;0
1468;0.005
1469;0.003
1470;0.026
1471;0.058
1472;0.078
1473;0.907
1474;2.75
1475;2.706
1476;0.523
1477;0.05
1478;0.01
1479;0.002
1480;0.001
1481;0.002
1482;0.004
1483;0.008
1484;0.012
1485;0.011
1486;0.007
1487;0.001
1488;0
1489;0
1490;0
1491;0.014
1492;0.397
1493;0.808
1494;0.447
1495;0.61
1496;1.095
1497;1.792
1498;2.482
1499;2.889
1500;0.676
1501;0.108
1502;0.079
1503;0.059
1504;0.06
1505;0.054
1506;0.041
1507;0.023
1508;0.007
1509;0.001
1510;0.002
1511;0.003
1512;0.004
1513;0.004
1514;0.001
1515;0
1516;0.024
1517;0.078
1518;0.124
1519;0.145
1520;0.176
1521;0.606
1522;1.465
1523;2.149
1524;0.756
1525;0.203
1526;0.125
1527;0.066
1528;0.016
1529;0.001
1530;0
1531;0.002
1532;0.004
1533;0.007
1534;0.008
1535;0.002
1536;0.001
1537;0.004
1538;0.008
1539;0.072
1540;0.643
1541;0.072
1542;0.009
1543;0.027
1544;0.196
1545;0.569
1546;0.919
1547;1.74
1548;0.91
1549;0.174
1550;0.025
1551;0.001
1552;0.002
1553;0.005
1554;0.008
1555;0.009
1556;0.011
1557;0.006
1558;0.003
1559;0.004
1560;0.007
1561;0.007
1562;0.003
1563;0.002
1564;0.204
1565;0.128
1566;0.57
1567;0.807
1568;1.397
1569;2.065
1570;2.864
1571;2.34
1572;0.62
1573;0.12
1574;0.014
1575;0.001
1576;0.001
1577;0.001
1578;0.003
1579;0.009
1580;0.02
1581;0.03
1582;0.041
1583;0.038
1584;0.015
1585;0.007
1586;0.001
1587;0.008
1588;0.249
1589;0.068
1590;0.278
1591;1.069
1592;1.469
1593;2.195
1594;2.432
1595;2.702
1596;0.909
1597;0.165
1598;0.073
1599;0.02
1600;0.003
1601;0.001
1602;0.002
1603;0.003
1604;0.003
1605;0.003
1606;0.005
1607;0.007
1608;0.012
1609;0.014
1610;0.004
1611;0.017
1612;0.512
1613;1.406
1614;1.194
1615;1.018
1616;1.686
1617;3.055
1618;4.446
1619;4.464
1620;0.977
1621;0.207
1622;0.066
1623;0.018
1624;0.004
1625;0.004
1626;0.009
1627;0.021
1628;0.037
1629;0.047
1630;0.052
1631;0.026
1632;0.012
1633;0.009
1634;0.008
1635;0.033
1636;0.672
1637;0.501
1638;0.249
1639;0.195
1640;0.169
1641;0.167
1642;0.263
1643;1.228
1644;0.439
1645;0.075
1646;0.01
1647;0.004
1648;0.007
1649;0.016
1650;0.032
1651;0.05
1652;0.058
1653;0.052
1654;0.037
1655;0.015
1656;0.006
1657;0.004
1658;0.001
1659;0.001
1660;0.006
1661;0
1662;0.007
1663;0.136
1664;0.545
1665;0.832
1666;1.604
1667;2.966
1668;0.673
1669;0.105
1670;0.019
1671;0.01
1672;0.015
1673;0.025
1674;0.039
1675;0.059
1676;0.09
1677;0.156
1678;0.214
1679;0.221
1680;0.203
1681;0.17
1682;0.099
1683;0.242
1684;2.552
1685;6.265
1686;10.053
1687;13.721
1688;15.747
1689;15.626
1690;14.122
1691;11.305
1692;4.193
1693;1.069
1694;0.309
1695;0.082
1696;0.051
1697;0.045
1698;0.029
1699;0.009
1700;0.002
1701;0.001
1702;0.001
1703;0
1704;0
1705;0
1706;0
1707;0.007
1708;0.112
1709;0.264
1710;0.519
1711;0.624
1712;0.963
1713;2.382
1714;3.947
1715;5.048
1716;1.266
1717;0.312
1718;0.082
1719;0.034
1720;0.014
1721;0.012
1722;0.018
1723;0.022
1724;0.025
1725;0.031
1726;0.03
